models,group,name,Seg-ACC,Seg-AP,Seg-Dice,Seg-FBeta,Seg-MIoU,ASE,semblance,TR,semblance_manual,TASE,MSE_field
MSFSegNet-31+51-16-tanh-01111-bs16-lr1.0e-03-BCE-SGD-S1,tuning_train_para_250105,sh,0.8880189061164856,0.005999963730573654,0.02069762349128723,0.04745085909962654,0.005228514783084393,0.44159135222435,0.5805546571351932,0.9059127922682317,0.5545652726232954,0.5206745266914368,0.004634301388331616
MSFSegNet-31+51-16-tanh-01111-bs16-lr1.0e-03-BCE-SGD-S1,tuning_train_para_250105,jsh,0.94927978515625,0.001241963589563966,0.005527695640921593,0.0130907716229558,0.001385753857903183,0.3656987547874451,0.3401510441803912,0.4086306217647165,0.1575950042003968,0.4316883385181427,0.09317085976176832
MSFSegNet-31+51-32-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,syn_us_test,0.998753269513448,0.993317186832428,0.9861329595247904,0.99297430117925,0.4863267242908478,0.5219776034355164,1.2609545535944435,0.9682291666666666,0.9634350947893704,0.5220567584037781,0.0020494354651618
MSFSegNet-31+51-32-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,bp,0.8950318992137909,0.0069832997396588,0.025238481350243,0.0565092526376247,0.0063905452843755,0.5861330032348633,1.3010167090464444,0.9584543666104688,0.9851754038224312,0.6492476463317871,0.008602831575752
MSFSegNet-31+51-32-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,yz,0.90542870759964,0.0060304310172796,0.0205692071467638,0.0471463613212108,0.0051960919518023,0.2796222567558288,0.7670755151176751,0.6564851156287435,0.6138228735351787,0.3469452261924743,0.0519377319590868
MSFSegNet-31+51-32-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,sh,0.8712794780731201,0.0057774370070546,0.0187614997848868,0.0434722229838371,0.0047349503729492,0.3994816541671753,0.5809678042215275,0.9139997936611928,0.5545652726232954,0.493091344833374,0.007353048802197
MSFSegNet-31+51-32-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S1,tuning_train_para_250105,jsh,0.9477645754814148,0.0011581424623727,0.0046887535136193,0.0111205237917602,0.0011749434634111,0.3105920851230621,0.3129208884041992,0.3683642554943057,0.1575950042003968,0.4205219447612762,0.09074217632188
MSFSegNet-31+51-16-tanh-01111-bs8-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,syn_us_test,0.997017522652944,0.9836265246073405,0.9673164884249369,0.982689102490743,0.4683592716852824,0.5225355625152588,1.259470595827391,0.9828125,0.9566561732678199,0.5226669311523438,0.002487609019143045
MSFSegNet-31+51-16-tanh-01111-bs8-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,bp,0.8996354937553406,0.006745218532159925,0.02562407869845629,0.05712118931114674,0.00648916931822896,0.6054993271827698,1.339777507742676,0.9796184178794632,0.9851754038224314,0.6576069593429565,0.00820464011526943
MSFSegNet-31+51-16-tanh-01111-bs8-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,yz,0.9296339452266693,0.006390301277860999,0.02479331567883492,0.05530335940420628,0.006276376778259873,0.3825255632400513,1.112135643212162,0.5450743870410162,0.6138228735351787,0.4066354036331177,0.04357112486318081
MSFSegNet-31+51-16-tanh-01111-bs8-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,sh,0.8816013634204865,0.005809408612549305,0.0197531646117568,0.045486805960536,0.00498755113221705,0.4295585155487061,0.5575336581038983,0.8997185898535155,0.5545652726232954,0.5110317468643188,0.005441135697801793
MSFSegNet-31+51-16-tanh-01111-bs8-lr1.0e-03-BCE-SGD-S3,tuning_train_para_250105,jsh,0.9489324688911438,0.001229919376783073,0.005623512202873826,0.01331674959510565,0.001409885182511061,0.3433688879013062,0.2628309444613808,0.3975486771608552,0.1575950042003968,0.4291987121105194,0.09431811904051582
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-02-BCE-SGD-S4,tuning_train_para_250105,syn_us_test,0.9992533524831136,0.9957543810208639,0.9916421175003052,0.9957649310429891,0.4917129973570506,0.5205232501029968,1.245485463932503,0.9739583333333334,0.9566561732678199,0.5205910801887512,0.002637570940563548
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-02-BCE-SGD-S4,tuning_train_para_250105,bp,0.8879525065422058,0.007032057968899608,0.02457906678318977,0.05541348271071911,0.006221226416528225,0.579669713973999,1.257704512863834,0.9495500611520366,0.9851754038224314,0.6353378295898438,0.008073281906942523
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-02-BCE-SGD-S4,tuning_train_para_250105,yz,0.9270458519458771,0.006003616144880652,0.02239238750189543,0.05012395791709423,0.005661517847329378,0.3102558255195618,0.868291509735602,0.558769724637205,0.6138228735351787,0.3683114349842072,0.03718128316239162
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-02-BCE-SGD-S4,tuning_train_para_250105,sh,0.8582395017147064,0.005727835465222597,0.01823386736214161,0.04253664240241051,0.004600408719852567,0.3909605741500854,0.5556567607045397,0.9010370773080278,0.5545652726232954,0.4838881492614746,0.006534528872174969
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-02-BCE-SGD-S4,tuning_train_para_250105,jsh,0.9309159815311432,0.001133109675720334,0.004161422606557608,0.009993861429393291,0.001042527030222118,0.2754248082637787,0.2386999887359305,0.4016880136567186,0.1575950042003968,0.3800243437290192,0.08560657249249021
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S1,tuning_train_para_250105,syn_us_test,0.998946487903595,0.9940346479415894,0.9880627393722534,0.9939547777175903,0.4882035851478577,0.5230962038040161,1.255402271163389,0.96796875,0.9666256590131412,0.5230682492256165,0.002709025562817166
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S1,tuning_train_para_250105,bp,0.8931716084480286,0.006967047229409218,0.02515297010540962,0.05643893778324127,0.0063683339394629,0.5925788879394531,1.315662184747036,0.9650530841880992,0.9851754038224314,0.6497268080711365,0.007489112953924147
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S1,tuning_train_para_250105,yz,0.9064962863922119,0.006057039368897676,0.02054871432483196,0.04707139730453491,0.005190507508814335,0.2745920419692993,0.7392493273839701,0.6576057422636594,0.6138228735351787,0.3473218977451324,0.04584397538622566
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S1,tuning_train_para_250105,sh,0.870569109916687,0.005801932886242867,0.01884108409285545,0.04367723315954208,0.004755066242069006,0.3939308524131775,0.5789555357567968,0.915776754945077,0.5545652726232954,0.4897572994232178,0.007885750246319361
